0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,30
30,219
31,952
32,1470
33,1361
34,1214
35,922
36,882
37,892
38,646
39,466
40,391
41,362
42,362
43,338
44,355
45,346
46,335
47,363
48,379
49,312
50,334
51,321
52,318
53,271
54,275
55,250
56,210
57,220
58,254
59,204
60,238
61,235
62,222
63,217
64,212
65,197
66,199
67,218
68,205
69,242
70,257
71,288
72,306
73,325
74,338
75,352
76,421
77,475
78,515
79,605
80,637
81,568
82,573
83,587
84,463
85,485
86,453
87,501
88,460
89,460
90,414
91,427
92,448
93,475
94,477
95,512
96,551
97,581
98,661
99,738
100,797
101,794
102,722
103,794
104,748
105,679
106,757
107,648
108,648
109,580
110,510
111,591
112,546
113,511
114,540
115,563
116,555
117,589
118,611
119,540
120,629
121,600
122,620
123,681
124,675
125,675
126,699
127,749
128,692
129,711
130,691
131,756
132,736
133,785
134,721
135,710
136,710
137,712
138,671
139,657
140,640
141,642
142,547
143,571
144,496
145,457
146,447
147,376
148,341
149,351
150,325
151,292
152,251
153,200
154,191
155,169
156,146
157,115
158,104
159,104
160,73
161,76
162,49
163,51
164,45
165,29
166,19
167,18
168,7
169,6
170,3
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
